Shrub.ID,D1,D2,H,Area,Log.area,Volume,Canopy,RDM.2013,Shrub.density,x,y
296,4.17,4.37,1.54,14.31,2.660958594,7.35,6,5.710636616,0.004123686,696788.3748,4063336.195
297,2.72,3.18,1.21,6.79,1.915450942,2.74,9,5.545801163,0.004271673,696770.1582,4063346.989
298,2.77,2.77,1.06,6.03,1.796747011,2.13,6,4.408689022,0.004255529,696762.5074,4063349.255
299,7.24,4.9,1.81,27.86,3.327191968,16.81,7,10.02020836,0.003978048,696772.9896,4063359.931
300,2.72,1.98,1.55,4.23,1.442201993,2.19,6,5.632491112,0.003883118,696781.0894,4063349.793
301,5.08,5.38,2.16,21.47,3.066656612,15.45,7,7.7909832,0.002137247,696769.2528,4063382.491
302,1.24,1.09,0.66,1.06,0.058268908,0.23,4,5.500617027,0.003666834,696830.3692,4063356.588
303,3.8,3.4,1.2,10.15,2.317473705,4.06,6,8.448943138,0.00404985,696839.6003,4063367.235
304,4.39,4.34,1.5,14.96,2.705379973,7.48,8,11.38427353,0.003922853,696848.3233,4063368.879
305,3.84,4.55,2.2,13.72,2.618854622,10.06,5,3.995301247,0.004888835,696855.109,4063384.798
306,4.01,3.07,1.58,9.67,2.269028309,5.09,5,0.579025388,0.005767906,696857.9478,4063393.523
307,4.42,3.1,1.58,10.76,2.375835555,5.67,3,1.510402679,0.004784647,696864.9502,4063392.24
308,3.63,3.18,1.25,9.07,2.204972264,3.78,7,0.861695707,0.005566735,696866.2675,4063401.041
309,2.46,2.16,0.97,4.17,1.427916036,1.35,5,2.544667244,0.006862389,696887.6243,4063401.421
310,1.63,1.37,0.84,1.75,0.559615788,0.49,6,2.338979244,0.006358527,696894.762,4063402.029
311,1.85,1.91,0.85,2.78,1.022450928,0.79,5,2.419463158,0.006825416,696900.2887,4063398.826
312,2.46,2.21,1.07,4.27,1.451613827,1.52,3,2.338496923,0.007337252,696902.7317,4063389.779
313,2.26,2.95,1.08,5.24,1.656321498,1.89,1,2.310580015,0.004033218,696916.2516,4063416.067
314,1.37,1.7,0.59,1.83,0.604315967,0.36,1,2.128608704,0.005284509,696896.4239,4063411.392
315,2.31,1.85,0.89,3.36,1.211940974,1,7,2.102842569,0.00579279,696896.8808,4063407.073
316,2.82,4.27,1.04,9.46,2.247072383,3.28,6,1.996847749,0.006168109,696883.4965,4063405.988
317,3.33,2.97,1.26,7.77,2.050270164,3.26,7,1.783542037,0.00557519,696883.1289,4063410.309
318,3.3,2.84,1.19,7.36,1.996059933,2.92,7,1.308487892,0.004331631,696885.7585,4063424.246
